製作日期: 2025-03-21 17:11:54,,,,篩選日期: 2025-01-01 00:00:00 ~ 2025-03-21 23:59:59,,,,,
收文清單,,,,,,,,,
共 79 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
1,2025-03-21 10:07:58,中華民國114年3月21日,開會通知單,桃工用,1140009841,"本市「八德區和強路(和平路至延平路)拓寬工程」用地取得協議價購土地市價審查會議
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
2,2025-03-21 09:52:18,中華民國114年3月21日,函,桃工用,1140010187,"檢送本局114年3月14日辦理「本市大溪區大鶯路60巷道路拓寬工程」現場會勘紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
3,2025-03-20 13:46:30,中華民國114年3月20日,函,桃工用,1140010283,"有關貴公司檢送「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」－派工單(077)之「龍潭區龍新路三和段(桃20)直坑尾橋至新竹縣交界道路拓寬」導線測量及1/1000地形測量作業成果乙式，同意核定，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
4,2025-03-20 11:02:22,中華民國114年3月20日,函,桃工用,1140009861,"函轉「泰豐工商綜合區聯外道路案(中華路二段至忠信路)道路拓寬工程」土地界址測量一案，案涉道路界址點樁作業，請貴公司派員與會，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
5,2025-03-20 09:08:23,中華民國114年3月20日,函,桃工用,1140009847,"有關貴公司檢送「楊梅體育園區內通路(裕成南路至瑞溪路)道路工程」控制測量、1/500地形測量及導線測量作業成果審查一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
6,2025-03-19 14:08:31,中華民國114年3月19日,函,桃工用,11400096691,"為辦理「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」採購案議約作業一案，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
7,2025-03-19 10:15:02,中華民國114年3月18日,函,府建都,1140061915,"有關本府辦理「112年度南投縣都市計畫樁位測補釘案委託技術服務案(開口契約)」第1、2次派工都市計畫樁位逕為分割疑義1案，如說明，請查照。
",南投縣政府,"EB50819619
乾坤測繪科技有限公司",收文完成
8,2025-03-18 12:10:08,中華民國114年3月18日,函,全盛資,1140000000,"測試測試測試
",全盛資訊科技股份有限公司,"EB50819619
乾坤測繪科技有限公司",收文完成
9,2025-03-18 11:42:35,中華民國114年3月18日,函,桃工用,1140009745,"有關貴公司承攬本局「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第85次派工「龍潭區龍新路道路拓寬(直坑尾橋至三和段1240巷)」市價查估作業一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
10,2025-03-17 14:26:31,中華民國114年3月17日,函,桃工用,1140008386,"為辦理本市「中壢區龍勇路（興元路至龍仁路）道路拓寬工程」土地徵收查估市價提報本市地價及標準地價評議委員會評議一案，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
11,2025-03-14 11:08:45,中華民國114年3月14日,開會通知單,桃工用,1140009093,"本市桃園區「國強一街至文中路道路開闢工程」及「同德十二街道路開闢工程」用地取得協議價購土地市價審查會議
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
12,2025-03-13 15:39:03,中華民國114年3月13日,開會通知單,桃工用,1140008216,"本市「楊梅區新農街378巷13弄道路打通」用地取得協議價購土地市價審查會議
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
13,2025-03-13 14:06:57,中華民國114年3月13日,函,桃工用,1140008370,"為辦理本市「中壢區龍岡路/4-1-10M計畫道路路口瓶頸打通工程」土地徵收查估市價提報本市地價及標準地價評議委員會評議一案，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
14,2025-03-12 11:54:15,中華民國114年3月12日,函,桃工用,1140008716,"有關貴公司承攬本局「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第84次派工「桃園區同德十二街道路開闢工程」一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
15,2025-03-12 11:54:07,中華民國114年3月12日,函,桃工用,1140008715,"有關貴公司承攬本局「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第83次派工桃園區「國強一街至文中路道路開闢工程」市價查估作業一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
16,2025-03-11 10:12:57,中華民國114年3月11日,開會通知單,桃工用,1140008474,"有關本局辦理「桃園區民光東路至三元街周邊綠地及道路」地上物查估作業，請台端等11人依排定時間及攜帶相關文件會同協助辦理查估確認事宜，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
