製作日期: 2025-03-21 17:10:00,,,,篩選日期: 2025-01-01 00:00:00 ~ 2025-03-21 23:59:59,,,,,,
發文清單,,,,,,,,,,
共 33 件公文,,,,,,,,,,
序號,發文日期,公文日期,類別,字,文號,發文單位,受文單位,狀態,使用者確認,主旨
1,2025-03-19 11:36:14,中華民國114年3月19日,函,乾坤測,1140000039,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-19 12:38:07,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號080之「中壢區龍勇路(興元路至龍仁路)道路拓寬開闢」導線測量、1/500地形測量、橫斷面1/100測量作業成果乙式，請查照。
"
2,2025-03-17 17:34:16,中華民國114年3月17日,函,乾坤測,1140000038,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-18 07:08:14,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明，請查照。
"
3,2025-03-17 16:02:44,中華民國114年3月17日,函,乾坤測,1140000036,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-17 16:54:24,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果電子檔，詳如說明二，請查照。
"
4,2025-03-14 10:28:31,中華民國114年3月14日,函,乾坤測,1140000035,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-14 11:25:21,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號078之「泰豐工商綜合區聯外道路案」控制測量、1/500地形測量及導線測量作業成果乙式，請查照。
"
5,2025-03-12 14:56:20,中華民國114年3月12日,函,乾坤測,1140000034,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-12 15:44:20,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第84次派工「桃園區同德十二街道路開闢工程」案成果乙式，請查照。
"
6,2025-03-12 14:53:22,中華民國114年3月12日,函,乾坤測,1140000033,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-12 15:44:21,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第83次派工桃園區「國強一街至文中路道路開闢工程」市價查估作業成果乙式，請查照。
"
7,2025-03-11 11:31:48,中華民國114年3月11日,函,乾坤測,1140000032,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-11 12:21:14,"有關貴局就「桃園區同德十二街道路開闢工程」及桃園區「國強一街至文中路道路開闢工程」協議價購市價查估作業，因市場價格變動，請本公司另行提送查估報告一案，詳如說明，請查照。
"
8,2025-03-10 16:20:01,中華民國114年3月10日,函,乾坤測,1140000031,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-11 07:07:26,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明二，請查照。
"
9,2025-03-10 15:45:40,中華民國114年3月10日,函,乾坤測,1140000030,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-10 16:35:28,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號077之「龍潭區龍新路三和段(桃20)直坑尾橋至新竹縣交界道路拓寬」導線測量及1/1000地形測量作業成果乙式，請查照。
"
10,2025-03-07 10:08:06,中華民國114年3月7日,函,乾坤測,1140000029,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-07 11:12:49,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號076之桃園市「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」測量作業成果乙式，請查照。
"
11,2025-03-04 15:56:14,中華民國114年3月4日,函,乾坤測,1140000028,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-04 16:46:38,"有關本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」更換執行查估作業協力廠商一案，詳如說明二，請查照。
"
12,2025-03-04 14:54:29,中華民國114年3月4日,函,乾坤測,1140000027,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-04 15:44:44,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號073之「楊梅體育園區內通路(裕成南路至瑞溪路)道路工程」控制測量、1/500地形測量及導線測量作業成果乙式，請查照。
"
13,2025-03-03 13:53:47,中華民國114年3月3日,函,乾坤測,1140000025,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-03 14:46:05,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明二，請查照。
"
14,2025-02-26 15:21:15,中華民國114年2月26日,函,乾坤測,1140000024,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-26 16:15:18,"檢送本公司辦理桃園市「桃園區興二街」案內用地範圍桃園區會稽段386地號1筆土地協議價購市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
15,2025-02-19 16:07:05,中華民國114年2月19日,函,乾坤測,1140000023,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-20 07:16:03,"有關本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」執行查估作業協力廠商一事，詳如說明，請查照。
"
16,2025-02-17 11:03:14,中華民國114年2月17日,函,乾坤測,1140000021,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-17 11:57:14,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明二，請查照。
"
17,2025-02-17 11:02:40,中華民國114年2月17日,函,乾坤測,1140000020,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-17 11:57:04,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明二，請查照。
"
18,2025-02-17 10:58:53,中華民國114年2月17日,函,乾坤測,1140000019,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-17 11:57:04,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明二，請查照。
"
19,2025-02-14 12:00:06,中華民國114年2月14日,函,乾坤測,1140000018,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-14 12:51:19,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果電子檔，詳如說明二，請查照。
"
20,2025-02-14 11:34:53,中華民國114年2月14日,函,乾坤測,1140000017,乾坤測繪科技有限公司,"A15030200HU121900
(交通部公路局中區養護工程分局埔里工務段)
",使用者確認,2025-02-14 12:25:24,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」第三期估驗計價表1式4份，請查照。
"
21,2025-02-13 16:26:56,中華民國114年2月13日,函,乾坤測,1140000016,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-14 07:10:37,"檢送本公司辦理「桃園區國強一街至文中路道路開闢工程」地上物查估作業修正後成果乙式，請查照。
"
22,2025-02-13 16:26:24,中華民國114年2月13日,函,乾坤測,1140000015,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-14 07:10:36,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號060之「桃園區同德十二街道路開闢工程」地上物查估作業成果乙式，請查照。
"
23,2025-02-13 16:22:54,中華民國114年2月13日,函,乾坤測,1140000014,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-14 07:22:49,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號068之「桃園市平鎮東龍科技園區聯外道路拓寬工程」地上物查估作業成果乙式，請查照。
"
24,2025-02-06 15:16:07,中華民國114年2月6日,函,乾坤測,1140000011,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-02-06 16:12:33,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號069之「桃園區民光東路至三元街周邊綠地及道路」地上物查估作業成果乙式，請查照。
"
