製作日期: 2025-07-24 08:46:54,,,,篩選日期: 2025-05-19 00:00:00 ~ 2025-07-24 23:59:59,,,,,
收文清單,,,,,,,,,
共 64 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
1,2025-07-23 12:31:27,中華民國114年7月23日,函,桃工用,1140029413,"為辦理本市「桃園區國強一街至文中路道路開闢工程」用地取得作業，請協助回復地上物所有權人永豐國際汽車有限公司之陳述意見，俾憑彙整後回復，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
2,2025-07-23 08:37:18,中華民國114年7月17日,函,中分局單信,1145023008,"檢送本段「114年第4次一般災害」局核定函及明細資料各1份，請於114年8月5日前完成上傳「省道邊坡全生命週期維護管理系統」，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
3,2025-07-22 10:53:56,中華民國114年7月22日,函,府經都,1140193193,"不予決標（廢標）結果通知，請查照。
",嘉義縣政府,"EB50819619
乾坤測繪科技有限公司",收文完成
4,2025-07-22 10:53:49,中華民國114年7月22日,會勘通知單,桃工用,1140029113,"為本局辦理「本市楊梅區新明段公共設施完竣情形」現地會勘
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
5,2025-07-21 13:42:48,中華民國114年7月21日,函,桃工用,1140029287,"有關貴公司提請辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第五批次部分驗收一案，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
6,2025-07-21 13:42:40,中華民國114年7月21日,會勘通知單,桃工用,1140029161,"為本局辦理「本市桃園區三元段公共設施完竣情形」現地會勘
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
7,2025-07-18 16:58:04,中華民國114年7月18日,函,桃工用,1140027927,"有關貴公司檢送「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」測量作業成果（定稿版），本局同意備查，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
8,2025-07-17 16:44:35,中華民國114年7月17日,函,中分局單信,1145022915,"有關「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」，因114年7月8日至7月9日豪雨啟動執行台16線23K+500~25K+500、台21線74K+000~76K+500上邊坡特別檢測一案，詳如說明，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
9,2025-07-17 16:44:22,中華民國114年7月17日,函,桃工用,1140028727,"有關貴公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」更換及新增執行查估作業協力廠商一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
10,2025-07-17 11:38:59,中華民國114年7月17日,函,桃工用,1140028629,"檢送114年6月13日辦理複估本市「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」案內中華段1044及1046地號土地地上物(電表及水表)會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
11,2025-07-14 13:33:06,中華民國114年7月14日,函,桃工用,1140026845,"有關貴公司提送「大園區田溪路(華興路二段至聖德北路)道路拓寬工程」水準測量、1/500地形測量、1/100橫斷面測量、測量報告及地形圖製作之成果報告(核定版)一案，業經審查尚符契約規定，本局原則同意核定，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
12,2025-07-10 14:08:15,中華民國114年7月10日,函,嘉竹地測,1140004140,"關於貴公司承攬本所「114年度圖根補建、新建作業」一案，規劃於114年7月7日開工，准予備查，請查照。
",嘉義縣竹崎地政事務所,"EB50819619
乾坤測繪科技有限公司",收文完成
